51,32,397,261,71,47,1,-1,-1
52,32,392,280,68,47,1,-1,-1
53,32,385,298,72,53,1,-1,-1
54,32,380,308,68,63,1,-1,-1
55,32,375,321,69,70,1,-1,-1
56,32,369,337,31,74,1,-1,-1
57,32,361,353,51,79,1,-1,-1
58,32,357,368,70,81,1,-1,-1
59,32,352,386,70,83,1,-1,-1
60,32,345,405,56,84,1,-1,-1
61,32,317,430,114,88,1,-1,-1
62,32,305,454,110,89,1,-1,-1
63,32,300,486,99,83,1,-1,-1
64,32,298,520,88,76,1,-1,-1
65,32,298,544,95,82,1,-1,-1
66,32,297,577,92,81,1,-1,-1
67,32,297,614,86,75,1,-1,-1
68,32,286,654,73,66,1,-1,-1
69,32,283,691,75,67,1,-1,-1
70,32,269,729,84,75,1,-1,-1
71,32,256,767,92,83,1,-1,-1
72,32,235,809,100,93,1,-1,-1
73,32,216,858,116,110,1,-1,-1
74,32,200,913,125,121,1,-1,-1
75,32,188,974,127,125,1,-1,-1
76,32,179,1044,125,126,1,-1,-1
77,32,174,1121,119,122,1,-1,-1
78,32,174,1204,96,100,1,-1,-1
79,32,163,1288,94,99,1,-1,-1
80,32,161,1370,89,94,1,-1,-1
81,32,166,1453,76,79,1,-1,-1
82,32,161,1533,60,63,1,-1,-1
293,185,591,209,20,28,1,-1,-1
294,185,588,220,23,23,1,-1,-1
295,185,570,210,70,77,1,-1,-1
296,185,569,222,70,71,1,-1,-1
297,185,576,237,71,59,1,-1,-1
298,185,576,249,44,50,1,-1,-1
299,185,577,265,34,47,1,-1,-1
299,191,582,202,20,22,1,-1,-1
300,185,575,262,41,64,1,-1,-1
300,191,577,215,23,22,1,-1,-1
301,185,577,281,69,61,1,-1,-1
301,191,577,224,23,28,1,-1,-1
302,185,580,306,70,54,1,-1,-1
302,191,576,240,23,31,1,-1,-1
303,185,581,326,70,54,1,-1,-1
303,191,578,254,21,24,1,-1,-1
304,185,579,345,72,55,1,-1,-1
304,191,578,273,23,28,1,-1,-1
305,185,576,366,72,59,1,-1,-1
305,191,583,292,15,25,1,-1,-1
306,185,580,388,68,60,1,-1,-1
306,191,576,287,71,53,1,-1,-1
307,185,584,417,67,64,1,-1,-1
307,191,578,307,31,52,1,-1,-1
308,185,574,443,67,64,1,-1,-1
308,191,578,324,70,54,1,-1,-1
309,185,574,470,71,67,1,-1,-1
309,191,578,339,70,60,1,-1,-1
310,185,577,501,73,67,1,-1,-1
310,191,578,360,73,55,1,-1,-1
311,191,578,376,33,56,1,-1,-1
311,185,579,532,73,66,1,-1,-1
